Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,6.38,506.20
Allahabad Bank Apps,0.02,6.79
Amazon Pay,68.40,6541.84
AU Small Finance Bank Apps,0.38,120.24
Axis Bank Apps,52.60,1268.38
Bajaj Finserv,1.16,85.49
Bajaj Markets,0.01,1.20
Bank of Baroda Apps,0.83,347.72
Bank of India Apps,0.13,41.82
Bank of Maharashtra Apps,0.06,15.77
BHIM,22.60,7527.98
Canara Bank Apps,0.34,109.78
Central Bank of India Apps,0.15,54.06
Citi Bank Apps,0.13,63.54
City Union Bank Apps,0.03,8.72
Cointab,0.06,23.99
Cred,13.40,17583.25
DBS Digibank Apps,0.46,171.69
Deutsche Bank Apps,1.51,99.12
Dhanlaxmi Bank Apps,0.01,2.70
Equitas Small Finance Bank Apps,0.01,3.87
Fave,0.12,6.94
Federal Bank Apps,3.55,494.21
Fino Payments bank Apps,0.05,3.17
Finshell Pay,0.10,5.30
GoIbibo,0.01,3.87
Google Pay,2025.89,355137.20
Groww,0.72,416.73
HDFC Bank Apps,8.24,2066.22
HSBC Bank Apps,0.11,61.39
ICICI Bank Apps,39.37,10202.14
IDBI Bank Apps,0.03,15.71
IDFC Bank Apps,7.03,663.65
India Post Payments Bank Apps,3.98,467.34
Indian Bank Apps,0.17,53.68
Indian Overseas Bank Apps,0.01,2.98
IndusInd Bank Apps,1.00,1645.13
Janata Sahakari Bank Apps,0.01,4.47
Jio Payments Bank Apps,1.87,116.34
Jupiter,1.89,223.22
Jupiter Edge (LivQuick PPI),0.13,8.72
Karnataka Bank Apps,0.32,43.13
Karur Vysya Bank Apps,0.04,15.91
Kotak Mahindra Bank Apps,8.33,1762.28
MakeMyTrip,0.11,51.45
MI Pay,0.17,29.61
Mobikwik,2.31,404.63
NSDL Payments Bank Apps,0.02,2.44
Paytm Payments Bank App,877.50,102119.90
PhonePe,2732.59,501474.48
Punjab National Bank Apps,0.08,40.68
Punjab Sind Bank Apps,0.01,5.93
RBL Bank Apps,0.42,123.89
Samsung Pay,4.07,468.23
South Indian Bank Apps,0.14,46.66
Standard Chartered Bank Apps,0.13,69.13
State Bank of India Apps,3.83,1947.10
Tamilnad Mercantile Bank Apps,0.03,4.02
TataNeu,0.12,19.41
TJSB Bank Apps,0.01,2.10
UCO Bank Apps,0.22,42.30
Ultracash,0.03,3.32
Union Bank Apps,0.45,199.80
Utkarsh Small Finance Bank Apps,0.01,3.47
WhatsApp,23.04,429.06
Yes Bank Apps,44.03,11147.17
YuvaPay,0.03,58.31
Others,0.02,6.34
