Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,9.44,775.19
Allahabad Bank Apps,0.03,9.33
Amazon Pay,56.42,6060.50
AU Small Finance Bank Apps,0.54,161.99
Axis Bank Apps,59.99,1555.84
Bajaj Finserv,4.12,472.71
Bank of Baroda Apps,1.23,466.23
Bank of India Apps,0.20,59.97
Bank of Maharashtra Apps,0.07,20.10
BHIM,25.49,8523.17
Canara Bank Apps,0.81,219.07
Central Bank of India Apps,0.30,71.66
Citi Bank Apps,0.09,66.83
City Union Bank Apps,0.04,12.85
Cointab,0.03,11.67
Cred,21.28,20259.70
DBS Digibank Apps,0.43,179.26
Deutsche Bank Apps,1.26,111.93
Dhanlaxmi Bank Apps,0.01,3.21
Equitas Small Finance Bank Apps,0.02,8.28
Fampay PPI,4.06,56.79
Fave,0.04,2.53
Federal Bank Apps,4.19,574.92
Fino Payments bank Apps,0.09,6.46
GoIbibo,0.01,1.84
Google Pay,2496.42,420978.38
HDFC Bank Apps,11.96,2997.29
HSBC Bank Apps,0.14,77.80
ICICI Bank Apps,41.61,14529.52
IDBI Bank Apps,0.06,25.92
IDFC Bank Apps,9.98,888.45
India Post Payments Bank Apps,4.70,630.43
Indian Bank Apps,0.23,68.97
Indian Overseas Bank Apps,0.01,4.72
IndusInd Bank Apps,1.15,1516.68
Janata Sahakari Bank Apps,0.01,4.80
Jio Payments Bank Apps,1.38,98.87
Jupiter,2.18,280.43
Karnataka Bank Apps,0.43,76.62
Karur Vysya Bank Apps,0.04,17.62
Kotak Mahindra Bank Apps,11.46,2426.65
MakeMyTrip,0.07,31.85
Mobikwik,3.28,708.12
NSDL Payments Bank Apps,0.02,3.13
Paytm Payments Bank App,1109.60,133620.54
PhonePe,3452.87,593759.02
Punjab National Bank Apps,0.15,62.77
Punjab Sind Bank Apps,0.02,8.05
RBL Bank Apps,1.08,245.16
Samsung Pay,5.09,554.33
South Indian Bank Apps,0.19,58.20
Standard Chartered Bank Apps,0.22,88.92
State Bank of India Apps,4.10,1936.72
Tamilnad Mercantile Bank Apps,0.06,9.81
TataNeu,0.14,18.30
TJSB Bank Apps,0.01,1.86
UCO Bank Apps,0.28,80.38
Ultracash,0.02,0.24
Union Bank Apps,0.82,290.75
Utkarsh Small Finance Bank Apps,0.02,6.31
WhatsApp,8.38,708.56
Yes Bank Apps,55.94,16070.88
Others,0.02,5.87
