Application_Name,Total_Volume_Mn,Total_Value_Cr
Bajaj Finserv,2.45,178.59
Bajaj Markets,0.02,1.58
Bandhan Bank Apps,0.01,1.25
Bank of Baroda Apps,0.99,383.43
Bank of India Apps,0.17,54.81
Bank of Maharashtra Apps,0.07,17.19
BHIM,24.99,7860.48
Canara Bank Apps,0.67,176.37
Central Bank of India Apps,0.24,64.59
Citi Bank Apps,0.11,63.08
City Union Bank Apps,0.04,11.45
Cointab,0.06,24.98
Cred,14.81,19084.3
DBS Digibank Apps,0.48,178.76
Deutsche Bank Apps,1.98,119.21
Dhanlaxmi Bank Apps,0.01,3.1
Equitas Small Finance Bank Apps,0.01,4.94
Fave,0.14,7.71
Federal Bank Apps,3.8,520.2
Fino Payments bank Apps,0.08,5.05
GoIbibo,0.01,4.82
Google Pay,2212.73,371081.16
Groww,0.8,490.93
HDFC Bank Apps,9.83,2415.47
HSBC Bank Apps,0.11,66.14
ICICI Bank Apps,45.59,10725.25
IDBI Bank Apps,0.04,20.31
IDFC Bank Apps,10.19,762.41
India Post Payments Bank Apps,4.3,504.41
Indian Bank Apps,0.22,63.33
Indian Overseas Bank Apps,0.01,4.66
IndusInd Bank Apps,1.01,1605.56
Janata Sahakari Bank Apps,0.01,4.56
Jio Payments Bank Apps,1.85,113.28
Jupiter,2.03,249.2
Karnataka Bank Apps,0.38,55.32
Karur Vysya Bank Apps,0.04,16.54
Kotak Mahindra Bank Apps,9.28,1939.14
MakeMyTrip,0.15,62.67
MI Pay,0.15,24.8
Mobikwik,2.84,562.95
NSDL Payments Bank Apps,0.02,2.85
Paytm Payments Bank App,986.39,114217.1
PhonePe,3146.71,528433.49
Punjab National Bank Apps,0.09,43.41
Punjab Sind Bank Apps,0.01,5.25
RBL Bank Apps,0.82,163.02
Samsung Pay,4.09,468.37
South Indian Bank Apps,0.16,52.73
Standard Chartered Bank Apps,0.14,73.6
State Bank of India Apps,4.1,1926.51
Tamilnad Mercantile Bank Apps,0.06,7.94
TataNeu,0.1,15.78
TJSB Bank Apps,0.01,2.2
UCO Bank Apps,0.25,65.69
Ultracash,0.02,1.54
Union Bank Apps,0.52,215.23
Utkarsh Small Finance Bank Apps,0.02,4.71
WhatsApp,6.72,567.17
Yes Bank Apps,57.8,16234.92
Others,0.01,5.72
PhonePe,4987.33,775265.57
Google Pay,3767.68,538113.42
Paytm Payments Bank App,1484.82,176804.51
Cred,85.13,31926.2
Axis Bank Apps,69.43,3037.11
Amazon Pay,54.02,5836.99
ICICI Bank Apps,38.57,20999.12
Yes Bank Apps,28.94,11254.77
BHIM,24.61,7793.58
Kotak Mahindra Bank Apps,21.17,3678.04
FAM,20.27,235.89
WhatsApp,19.7,1677.53
HDFC Bank Apps,18.94,4671.76
Bajaj Finserv,13.22,1995.11
Airtel Payments Bank Apps,10.2,699.27
Samsung Pay,6,538.48
Federal Bank Apps,5.7,700.66
India Post Payments Bank Apps,5.56,498.37
State Bank of India Apps,5.39,2104.81
Groww,4.74,2911.09
IDFC Bank Apps,4.36,1107.81
Mobikwik,3.96,1203.54
Jupiter,3.94,500.95
Standard Chartered Bank Apps,3.59,514.44
Deutsche Bank Apps,2.08,359.86
Canara Bank Apps,1.64,492.29
Jio Payments Bank Apps,1.42,113.65
RBL Bank Apps,1.38,548.31
Bank of Baroda Apps,1.27,466.84
slice,0.96,306.89
Union Bank Apps,0.9,324.77
Punjab National Bank Apps,0.86,179.75
IndusInd Bank Apps,0.85,391.31
OMNI,0.77,25.2
AU Small Finance Bank Apps,0.71,218.16
KIWI,0.69,69.86
Karnataka Bank Apps,0.65,127.83
DBS Digibank Apps,0.46,174.06
Central Bank of India Apps,0.45,96.41
UCO Bank Apps,0.38,132.77
Indian Bank Apps,0.33,91.69
Bank of India Apps,0.29,85.09
South Indian Bank Apps,0.28,77.42
Fino Payments bank Apps,0.21,15.43
HSBC Bank Apps,0.17,98.19
BPAYWALLET,0.15,32.07
Fave,0.12,7.54
TataNeu,0.1,16.09
Tamilnad Mercantile Bank Apps,0.1,25.45
Ultracash,0.09,6.17
Citi Bank Apps,0.08,58.11
Indian Overseas Bank Apps,0.07,19.01
City Union Bank Apps,0.07,19.79
IDBI Bank Apps,0.06,31.69
INDIE,0.05,12.6
Bank of Maharashtra Apps,0.05,8.18
Karur Vysya Bank Apps,0.05,16.11
MakeMyTrip,0.04,20.49
SHRIRAMHDFCBANK,0.04,2.33
Equitas Small Finance Bank Apps,0.03,19.23
NSDL Payments Bank Apps,0.03,5.39
Allahabad Bank Apps,0.03,7.81
Punjab Sind Bank Apps,0.03,12.74
DHANI,0.03,4.2
Utkarsh Small Finance Bank Apps,0.02,6.67
Jammu and Kashmir Bank Apps,0.01,2.8
DIGIKHATA,0.01,3.81
ZOICICI,0.01,1
Dhanlaxmi Bank Apps,0.01,3.02
GoIbibo,0.01,2.99
SURYODAY,0.01,0.03
Bandhan Bank Apps,0.01,0.87
Others,0.03,8.46
Airtel Payments Bank Apps,15.12,5732.09
Allahabad Bank App,0.02,7.43
Amazon Pay,76.18,6641.62
AU Small Finance Bank App,0.21,76.22
Axis Bank Apps,59.85,957.37
Bajaj Finserv,0.13,7.08
Bank of Baroda Apps,0.75,333.91
Bank of India App,0.04,17.26
Bank of Maharashtra App,0.05,11.52
BHIM,27.12,8831.67
Canara Bank App,0.25,90.72
Central Bank of India App,0.13,46.47
Citi Bank App,0.09,76.94
City Union Bank App,0.01,4.61
Cointab,0.94,144.16
Cred,10.36,13817.16
DBS Digibank App,0.55,190.75
Dena Bank App,0.02,26.08
Deutsche Bank App,0.85,86.2
Dhanlaxmi Bank App,0.01,3.07
Federal Bank App,0.48,99.96
Fino Payments bank App,0.03,2.09
Finshell Pay,0.06,2.92
Google Pay,1587.43,302989.79
HDFC Bank Apps,4.96,1250.74
HSBC Bank App,0.09,53.73
ICICI Bank Apps,31.99,8921.76
IDBI Bank App,0.02,11.34
IDFC Bank App,0.9,278.53
India Post Payments Bank App,2.76,321.16
Indian Bank App,0.12,42.71
IndusInd Bank App,1.19,1269.16
Jammu and Kashmir Bank App,0.01,1.93
Janta Sahakari Bank App,0.01,4.48
Jio Payments Bank App,1.65,100.19
Jupiter Money,0.98,177.92
Karnataka Bank App,0.25,30.03
Karur Vysya Bank App,0.04,17.44
Kotak Mahindra Bank Apps,6.39,1168.93
MakeMy Trip,0.07,22.3
MI Pay,0.31,43.97
Mobikwik,4.24,985.86
NSDL Payments Bank App,0.01,1.31
Paytm Payments Bank App,706.37,88094.49
PhonePe,2077.6,394565.58
Punjab National Bank App,0.07,33.76
RBL Bank App,0.35,102.17
Samsung Pay,3.21,436.3
South Indian Bank App,0.13,39.92
Standard Chartered Bank App,0.1,60.26
State Bank of India Apps,3.63,1961.72
UCO Bank App,0.14,33.49
Ultracash,1.96,178.99
Union Bank Apps,0.36,167.6
WhatsApp,2.25,188.78
Yes Bank Apps,25.14,5689.75
YuvaPay,0.05,78.43
Others,0.02,8.74
Airtel Payments Bank Apps,8.7,681.67
Allahabad Bank Apps,0.03,9.75
Amazon Pay,69.61,6621.66
AU Small Finance Bank Apps,0.58,177.47
Axis Bank Apps,65.56,1305.09
Bajaj Finserv,4.56,647.71
Bandhan Bank Apps,0.01,1.53
Bank of Baroda Apps,1.02,397.56
Bank of India Apps,0.22,64.32
Bank of Maharashtra Apps,0.08,19.91
BHIM,25.5,8400.04
Canara Bank Apps,1.02,275.7
Central Bank of India Apps,0.26,60.32
Citi Bank Apps,0.09,68.38
City Union Bank Apps,0.05,14.38
Cointab,0.05,18.98
Cred,31.42,19622.29
DBS Digibank Apps,0.41,171.59
Deutsche Bank Apps,1.28,104.49
Dhanlaxmi Bank Apps,0.01,3.16
Equitas Small Finance Bank Apps,0.02,11.69
Fampay PPI,9.7,127.19
Fave,0.08,5.01
Federal Bank Apps,4.57,595.18
Fino Payments bank Apps,0.11,7.49
