Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,15.90,5554.63
Allahabad Bank App,0.02,6.28
Amazon Pay,71.04,6041.96
AU Small Finance Bank App,0.17,67.04
Axis Bank Apps,70.83,920.76
Bajaj Finserv,0.06,4.10
Bank of Baroda Apps,0.75,329.77
Bank of India App,0.03,13.54
Bank of Maharashtra App,0.04,10.84
BHIM,25.23,8237.22
Canara Bank App,0.21,78.32
Central Bank of India App,0.11,43.57
Citi Bank App,0.09,77.41
City Union Bank App,0.01,3.85
Cointab,0.64,112.28
Cred,9.03,12277.85
DBS Digibank App,0.52,185.20
Dena Bank App,0.02,24.11
Deutsche Bank App,0.98,115.42
Dhanlaxmi Bank App,0.01,2.37
Federal Bank App,0.47,91.94
Fino Payments bank App,0.02,1.81
Finshell Pay,0.05,2.19
Google Pay,1447.84,283357.99
HDFC Bank Apps,3.87,1030.59
HSBC Bank App,0.08,46.98
ICICI Bank Apps,29.14,7246.75
IDBI Bank App,0.03,13.31
IDFC Bank App,0.64,237.83
India Post Payments Bank App,2.30,286.07
Indian Bank App,0.09,37.77
IndusInd Bank App,1.10,1407.31
Jio Payments Bank App,1.38,89.68
Jupiter Money,0.55,102.84
Karnataka Bank App,0.22,27.68
Karur Vysya Bank App,0.03,15.46
Kotak Mahindra Bank Apps,5.78,1035.67
MakeMy Trip,0.12,45.04
MI Pay,0.33,47.27
Mobikwik,5.18,1478.95
NSDL Payments Bank App,0.01,1.11
Paytm Payments Bank App,631.30,81403.37
PhonePe,1911.21,365044.32
Punjab National Bank App,0.07,31.14
RBL Bank App,0.25,81.95
Samsung Pay,2.80,412.13
South Indian Bank App,0.11,36.91
Standard Chartered Bank App,0.09,53.87
State Bank of India Apps,3.72,1990.21
UCO Bank App,0.12,30.41
Ultracash,2.13,162.44
Union Bank Apps,0.43,178.53
WhatsApp,2.11,149.38
Yes Bank Apps,24.34,6171.08
YuvaPay,0.04,66.62
Other Apps,0.03,14.98
