Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,4.06,429.12
Allahabad Bank App,0.01,4.43
Amazon Pay,58.35,4782.59
AU Small Finance Bank App,0.04,20.29
Axis Bank Apps,68.90,806.31
Bajaj Finserv,0.01,0.77
Bank of Baroda Apps,0.54,230.89
Bank of India App,0.01,5.23
Bank of Maharashtra App,0.02,6.18
BHIM,21.02,6776.20
Canara Bank App,0.09,45.92
Central Bank of India App,0.10,42.18
Citi Bank App,0.08,70.14
Cointab,0.10,35.72
Cred,5.65,6142.78
DBS Digibank App,0.47,160.73
Dena Bank App,0.02,20.90
Deutsche Bank App,0.21,14.73
Federal Bank App,0.17,38.99
Fino Payments bank App,0.01,1.23
Google Pay,880.59,187136.95
HDFC Bank Apps,1.56,274.77
HSBC Bank App,0.06,35.68
ICICI Bank Apps,13.16,4514.11
IDBI Bank App,0.02,10.36
IDFC Bank App,0.15,72.34
India Post Payments Bank App,1.29,178.52
Indian Bank App,0.06,26.84
IndusInd Bank App,3.12,433.37
Jio Payments Bank App,0.68,40.92
Karnataka Bank App,0.10,20.74
Karur Vysya Bank App,0.02,11.59
Kotak Mahindra Bank Apps,2.37,427.40
MakeMy Trip,0.03,11.47
MI Pay,0.37,55.17
Mobikwik,3.18,467.11
NSDL Payments Bank App,0.01,0.58
Paytm Payments Bank App,343.81,43741.16
PhonePe,1149.84,234123.57
Punjab National Bank App,0.11,55.51
RBL Bank App,0.12,56.21
Samsung Pay,1.36,302.68
South Indian Bank App,0.05,19.67
Standard Chartered Bank App,0.06,36.73
State Bank of India Apps,3.69,2079.32
UCO Bank App,0.08,19.50
Ultracash,1.15,142.92
Union Bank Apps,0.28,110.65
WhatsApp,0.51,48.15
Yes Bank Apps,21.08,4486.54
YuvaPay,2.32,73.16
Others,0.03,12.47
