Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,13.16,4492.25
Allahabad Bank Apps,0.02,6.15
Amazon Pay,76.34,6894.78
AU Small Finance Bank Apps,0.29,104.48
Axis Bank Apps,61.29,1084.94
Bajaj Finserv,0.35,24.08
Bank of Baroda Apps,0.69,328.61
Bank of India Apps,0.08,26.22
Bank of Maharashtra Apps,0.05,15.00
BHIM,24.88,8050.24
Canara Bank Apps,0.31,109.68
Central Bank of India Apps,0.14,50.67
Citi Bank Apps,0.11,68.41
City Union Bank Apps,0.03,7.30
Cointab,0.08,33.22
Cred,12.11,16136.11
DBS Digibank Apps,0.49,185.52
Dena Bank Apps,0.02,29.32
Deutsche Bank Apps,1.02,93.02
Dhanlaxmi Bank Apps,0.01,3.29
Fave,0.37,13.00
Federal Bank Apps,2.45,360.96
Fino Payments bank Apps,0.04,3.47
Finserv Markets,0.03,1.49
Finshell Pay,0.08,4.00
GoIbibo,0.02,5.91
Google Pay,1838.12,338873.25
Groww,0.83,472.71
HDFC Bank Apps,5.45,1624.54
HSBC Bank Apps,0.10,62.00
ICICI Bank Apps,35.13,10538.69
IDBI Bank Apps,0.03,16.25
IDFC Bank Apps,2.70,534.56
India Post Payments Bank Apps,2.95,321.14
Indian Bank Apps,0.11,42.26
Indian Overseas Bank Apps,0.01,1.62
IndusInd Bank Apps,1.03,2252.30
Jammu and Kashmir Bank Apps,0.01,2.15
Janata Sahakari Bank Apps,0.01,4.51
Jio Payments Bank Apps,2.27,129.50
Jupiter,1.32,164.80
Karnataka Bank Apps,0.30,37.96
Karur Vysya Bank Apps,0.04,18.29
Kotak Mahindra Bank Apps,7.92,1587.51
MakeMyTrip,0.10,47.10
MI Pay,0.24,36.02
Mobikwik,3.60,739.25
NSDL Payments Bank Apps,0.02,2.28
Paytm Payments Bank App,837.14,95650.36
PhonePe,2527.15,471401.26
Punjab National Bank Apps,0.09,46.64
Punjab Sind Bank Apps,0.01,3.80
RBL Bank Apps,0.46,126.75
Samsung Pay,3.73,473.50
South Indian Bank Apps,0.13,44.63
Standard Chartered Bank Apps,0.13,69.84
State Bank of India Apps,4.01,2130.56
SuperPay,0.10,0.64
UCO Bank Apps,0.19,40.88
Ultracash,0.03,1.12
Union Bank Apps,0.41,197.01
Utkarsh Small Finance Bank Apps,0.01,3.90
WhatsApp,2.54,239.78
Yes Bank Apps,35.25,8746.74
YuvaPay,0.06,105.39
Others,0.02,8.11
