Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,6.69,2821.94
Amazon Pay,51.34,4814.74
AU Small Finance Bank App,0.05,25.43
Axis Bank Apps,61.92,857.05
Bajaj Finserv,0.01,1.05
Bank of Baroda Apps,0.60,265.38
Bank of India App,0.02,8.25
Bank of Maharashtra App,0.03,6.82
BHIM,22.84,7319.77
Canara Bank App,0.10,52.64
Central Bank of India App,0.11,45.30
Citi Bank App,0.08,75.09
Cointab,0.12,40.95
Cred,5.77,6151.57
DBS Digibank App,0.51,170.57
Dena Bank App,0.02,21.57
Deutsche Bank App,0.32,27.44
Federal Bank App,0.21,49.99
Fino Payments bank App,0.01,1.09
Google Pay,972.26,207287.73
HDFC Bank Apps,2.07,408.61
HSBC Bank App,0.07,35.57
ICICI Bank Apps,15.29,5076.12
IDBI Bank App,0.02,10.86
IDFC Bank App,0.21,101.74
India Post Payments Bank App,1.47,203.73
Indian Bank App,0.05,25.18
IndusInd Bank App,2.18,421.41
Jio Payments Bank App,0.80,52.08
Karnataka Bank App,0.12,22.51
Karur Vysya Bank App,0.03,12.59
Kotak Mahindra Bank Apps,2.80,535.98
MakeMy Trip,0.06,22.16
MI Pay,0.36,56.69
Mobikwik,3.21,535.12
Paytm Payments Bank App,383.05,44981.11
PhonePe,1292.71,262565.88
Punjab National Bank App,0.08,41.10
RBL Bank App,0.13,61.95
Samsung Pay,1.64,331.04
South Indian Bank App,0.06,24.30
Standard Chartered Bank App,0.06,39.42
State Bank of India Apps,3.43,1978.61
UCO Bank App,0.09,20.80
Ultracash,1.19,148.09
Union Bank Apps,0.29,128.37
WhatsApp,0.46,42.44
Yes Bank Apps,24.72,5227.04
YuvaPay,1.33,60.44
Others,0.05,19.27
