Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,6.11,486.62
Allahabad Bank Apps,0.02,6.25
Amazon Pay,74.83,6954.18
AU Small Finance Bank Apps,0.35,107.22
Axis Bank Apps,58.66,1425.16
Bajaj Finserv,0.79,58.53
Bank of Baroda Apps,0.88,406.79
Bank of India Apps,0.12,40.04
Bank of Maharashtra Apps,0.06,16.47
BHIM,26.57,9559.66
Canara Bank Apps,0.33,114.09
Central Bank of India Apps,0.15,55.40
Citi Bank Apps,0.13,78.71
City Union Bank Apps,0.03,10.06
Cointab,0.06,23.77
Cred,13.89,18174.61
DBS Digibank Apps,0.47,186.33
Deutsche Bank Apps,1.64,116.55
Dhanlaxmi Bank Apps,0.01,3.35
Fave,0.10,6.12
Federal Bank Apps,3.42,474.12
Fino Payments bank Apps,0.04,3.83
Finserv Markets,0.01,1.01
Finshell Pay,0.09,4.68
GoIbibo,0.01,2.41
Google Pay,2079.92,365989.27
Groww,0.51,335.28
HDFC Bank Apps,6.95,1981.11
HSBC Bank Apps,0.10,63.17
ICICI Bank Apps,37.59,11056.90
IDBI Bank Apps,0.03,18.48
IDFC Bank Apps,4.75,626.34
India Post Payments Bank Apps,3.10,351.88
Indian Bank Apps,0.16,53.13
Indian Overseas Bank Apps,0.01,2.35
IndusInd Bank Apps,1.01,1711.21
Janata Sahakari Bank Apps,0.01,4.79
Jio Payments Bank Apps,2.08,127.88
Jupiter,1.79,215.44
Jupiter Edge (LivQuick PPI),0.10,5.74
Karnataka Bank Apps,0.33,40.34
Karur Vysya Bank Apps,0.04,17.69
Kotak Mahindra Bank Apps,8.50,1885.00
MakeMyTrip,0.09,43.26
MI Pay,0.20,33.90
Mobikwik,2.46,397.70
NSDL Payments Bank Apps,0.02,2.39
Paytm Payments Bank App,887.45,108276.78
PhonePe,2778.75,511028.81
Punjab National Bank Apps,0.09,43.77
Punjab Sind Bank Apps,0.01,6.39
RBL Bank Apps,0.38,125.39
Samsung Pay,4.11,490.30
South Indian Bank Apps,0.14,49.73
Standard Chartered Bank Apps,0.13,70.48
State Bank of India Apps,4.18,2195.66
Tamilnad Mercantile Bank Apps,0.01,1.13
TataNeu,0.22,30.33
UCO Bank Apps,0.22,46.39
Ultracash,0.05,4.40
Union Bank Apps,0.45,211.85
Utkarsh Small Finance Bank Apps,0.01,4.43
WhatsApp,3.48,294.98
Yes Bank Apps,39.69,11760.16
YuvaPay,0.04,88.95
Others,0.03,10.70
