Data for the day,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,NPCI Operated,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,,,,,,,,,,,,,,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2022-06-01 00:00:00,7.82415,535663.1341531699,287.2777,140338.055198062,0.78,23.540000000000003,1976.68,42008.82,191,21074.35,118.17,5756.97,24.95,3272.25,95.83,151.86,26.21,417.4,22.69,24428.98,134.53,6034.39,57.55,1542.96
2022-06-02 00:00:00,7.3314,488486.127510943,159.15231,110702.97159332801,0.74,21.92,2186.08,43887.84,176.85,18998.47,138.61,3913.06,117.13,6361.91,93.64,147.32,27.78,466.8,22.1,25303.62,128.26,5782.98,53.63,1445.93
2022-06-03 00:00:00,7.45096,484643.003724632,166.31929,106129.239954177,1.03,29.96,2050.04,38200.28,165.61,17344.3,74.75,3267.91,45.9,3221.99,93.95,146.35,26.64,446.25,21.31,23443.97,121.76,5349.93,52.26,1404.58
2022-06-04 00:00:00,6.06602,153178.84259132898,127.04362,64588.583052966,1.23,35.66,1859.27,35010.94,156.05,16202.1,128.87,4468.400000000001,22.84,3637.47,100.16,150.63,26.63,442.16,22.7,27558.84,127.04,5585.49,48.08,1300.96
2022-06-05 00:00:00,0.55898,4710.553686722,46.13553,8683.98651651,1.11,30.02,2222.02,34073.12,149.73,11203.2,11.149999999999999,155.95,121.1,12241.74,100.06,147.85,23.7,344.2,h,h,113.12,4476.1,37.26,931.23
2022-06-06 00:00:00,8.15282,596922.70669683,159.03666,121777.46964783999,1.27,35.230000000000004,2020.38,39158.04,169.43,17712.57,239.5,3245.5800000000004,47.8,4280.81,91.72,136.7,29.72,534.61,26.49,23627.63,117.49,5135.07,46.58,1247.26
2022-06-07 00:00:00,7.8594,467059.17567750206,184.41455,109186.892092165,1.35,37.79,1995.9,37704.57,165.56,17281.25,86.01,6071.2699999999995,72.69,6158.75,89.5,138.19,29.55,522.32,25.24,24676.12,121.78,5329.12,45.33,1211.22
2022-06-08 00:00:00,7.56547,442549.401796293,151.96711,98088.00576810101,1.4,38.11,2146.97,38922.92,162.78,16699.36,162.95999999999998,3683.59,33.74,2760.33,92.66,143.38,29.19,529.16,23.78,23389.42,127.43,5566.86,46.34,1224.2
2022-06-09 00:00:00,7.45894,422264.74523492396,159.1148,97593.378099886,1.36,37.190000000000005,2042.38,36686.89,156.14,16130.25,124.92,4887.49,24.14,2142.75,95.09,146.23,30.15,560.86,23.33,23129.65,120.09,5177.66,42.86,1135.86
2022-06-10 00:00:00,8.20337,602574.606115912,150.88106,117689.85115000601,1.44,39.21,2021.75,36538.99,160.32,16290.16,127.28999999999999,5619.1,119.05,14037.42,97.66,149.46,30.33,608.66,25.02,25076.54,125.5,5375.18,43.28,1152.48
2022-06-11 00:00:00,1.53504,14013.208096720999,62.78955,17529.325318802,1.4,39.59,2037.13,33508.5,149.32,12755.81,100.94,1646.56,7.29,826.84,101.11,151.44,28.15,478.31,h,h,121.76,5194.39,41.06,1118.68
2022-06-12 00:00:00,0.50397,4128.505322978,40.88403,7377.036458328999,1.24,31.869999999999997,1952.53,26074.45,134.21,8932.18,1.9500000000000002,88.11,9.26,552.74,101.79,149.24,24.34,313.15,h,h,108.19,4150.56,32.4,805.86
2022-06-13 00:00:00,9.77882,560277.025240273,169.78206,116059.009730551,1.48,39.449999999999996,2006.68,37447.27,161.68,16143.46,128.82,5181.59,18.98,2031.98,92.09,135.33,33.98,670.1,36.04,32307.08,118.24,4965.92,42.61,1144.89
