Data for the Day,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,NPCI Operated,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,,,,,,,,,,,,,,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-03-18 00:00:00,7.45981,188497.056523675,148.5516,78502.556150073,0.39,15.4,2757.13,41909.31,149.47,15250.9,76.31,6092.66,12.51,2493.9,106.87,174.6,36.32,583.3,22.25,23433.21,103.48,4262.54,31.61,843.39
2023-03-19 00:00:00,0.74837,6567.828156181,67.72481,11989.433418675,0.39,13.39,2676.22,33235.82,139.49,9690.82,3.59,513.8199999999999,4.1,416.58,104.4,171.4,29.58,352.93,0,0,99,3670.84,27,677.14
2023-03-20 00:00:00,10.39149,700296.205348464,176.84346,130307.615549872,0.43,16.330000000000002,2764.64,46652.05,158.57,18020.39,185.07,5392.37,43.48,4649.33,95.55,155.76,39.35,755.3,27.48,27311.5,105.52,4352.349999999999,33.76,907.52
2023-03-21 00:00:00,9.89585,686305.643247033,179.03862,135727.296376926,0.48,18.15,2829.32,44602.04,162.13,17562.6,92.96000000000001,5290.58,29.9,3155.59,97.11,161.74,36.22,673.15,26.29,30541.41,106.93,4308.3099999999995,35.18,937.04
2023-03-22 00:00:00,6.04877,153807.685979074,152.12302,74873.647646052,0.5,18.99,2732.58,39965.47,154.25,14932.79,115.53999999999999,5576.67,27.41,1893.84,93.97,162.83,31.54,525.36,14.41,15946.24,100.11,3973.34,33.15,885.55
2023-03-23 00:00:00,10.12411,719973.948092447,168.37904,142473.605535644,0.51,19.09,2715.52,42864.52,153.07992,17244.621144132998,114.84,6777.61,24.44,1877.42,96.71,164.52,33.05,592.99,27.73,30924.94,99.53,4025.51,33.4,909.28
2023-03-24 00:00:00,11.01598,808188.274392843,194.04018,164777.283466819,0.54,20.09,2711.94,42625.03,154.89,17685.09,220.57,12949.8,11.13,2493.08,99.61,169.31,32.38,584.68,26.93,32746.69,97.91,3952.95,33.48,930.17
2023-03-25 00:00:00,2.41403,24496.034296754002,95.50015,27342.063771743,0.58,22.18,2745.58,41335.82,154,15154.64,146.37,4073.1600000000003,11.67,1654.81,105.1,175.26,30.73,506.54,h,h,102.71,4212.73,33.85,951.5
2023-03-26 00:00:00,0.81195,7195.381113924001,73.59204,12786.30942887,0.5700000000000001,18.01,2695.47,32424,133.02,9973.87,4.51,388.98,3.11,295.36,106.76,175.15,26.26,313.22,h,h,94.64,3460.08,27.12,706.21
2023-03-27 00:00:00,13.90803,888692.1262949051,224.81794,218050.702094382,0.63,21.63,2755.29,45897.16,159.8,19616.31,288.53999999999996,9172.08,31.64,3347.24,95.32,157.24,33.34,620.77,42.14,46008.72,101.99,4192.63,34.6,955.85
2023-03-28 00:00:00,12.61873,964459.829543165,222.91027,193394.52393993002,0.66,22.74,2759.07,45057.3,157.34,19761.42,97.14,7424.09,57.21,3774.83,97.83,166.31,31.82,576.32,35.25,43063.26,101.08,4149.6,34.08,941.77
2023-03-29 00:00:00,13.34102,1174607.39641125,219.7931,219328.462569852,0.68,23.04,2783,45843.3,158.28,20399.72,225.6,13288.82,10.57,2259.59,98.08,170.39,30.49,553.29,29.2,39268.23,102.59,4211.03,32.97,905.41
2023-03-30 00:00:00,7.30969,248031.67373596298,181.02892,179059.780355747,0.65,22,2655.43,42465.52,148.98,18546.55,251.45999999999998,17876.940000000002,8.15,1800.12,96.98,171.3,29.17,492.68,10.4,15819.07,95.3,3887.43,30.41,839.07
2023-03-31 00:00:00,16.25103,1579083.574203968,313.05274,396593.31176835,0.7,23.970000000000002,2678.79,48892.77,168.75,26702.79,351.73,25184.96,16.98,3790.76,99.09,172.44,32.24,644.23,26.72,31302.62,109.77,4702.42,36.99,1037.3
TOTAL March,248.01308,16122902.240009755,5469.05709,3750569.407673113,13.28,515.2191312,86516.33763999998,1404950.594422395,4970.564710000001,546234.654623011,3894.79634,205157.36223782896,1246.5299600000005,125375.59039230895,3062.92,5067.209999999999,1116.2470300000002,18533.486925100002,642.4003100000001,701109.1975955098,3426,143483.72,1083.60587,30014.623310049996
